name,iata,icao,lat,lng,rank2000,total2000,pchange2000,rank2001,total2001,rchange2001,pchange2001,rank2002,total2002,rchange2002,pchange2002,rank2003,total2003,rchange2003,pchange2003,rank2004,total2004,rchange2004,pchange2004,rank2005,total2005,rchange2005,pchange2005,rank2006,total2006,rchange2006,pchange2006,rank2007,total2007,rchange2007,pchange2007,rank2008,total2008,rchange2008,pchange2008,rank2009,total2009,rchange2009,pchange2009,rank2010,total2010,rchange2010,pchange2010,rank2011,total2011,rchange2011,pchange2011,rank2012,total2012,rchange2012,pchange2012,rank2013,total2013,rchange2013,pchange2013,rank2014,total2014,rchange2014,pchange2014,rank2015,total2015,rchange2015,pchange2015
Frankfurt am Main International Airport,FRA,EDDF,50.03333330000,8.57055560000,7,49360630,Increase7.6,7,48559980,Steady,Decrease1.6%,7,48450357,Steady,Decrease0.2%,7,48351664,Steady,Decrease0.2%,8,51098271,Decrease1,Increase5.7%,8,52219412,Steady,Increase2.2%,8,52810683,Steady,Increase1.1%,8,54161856,Steady,Increase2.6%,9,53467450,Decrease1,Decrease1.3%,9,50932840,Steady,Decrease4.7%,9,53009221,Steady,Increase4.1%,9,56436255,Steady,Increase6.5%,11,57520001,Decrease2,Increase1.9%,12,58036948,Decrease1,Increase0.9%,11,59566132,Increase1,Increase2.6%,12,61032022,Decrease1,Increase2.5%
London Gatwick Airport,LGW,EGKK,51.14810181000,-0.19027799400,23,32065685,Increase4.9,20,31182364,Increase3,Decrease2.8%,22,29628423,Decrease2,Decrease5.0%,19,30007021,Increase3,Increase1.3%,23,31461454,Decrease4,Increase4.8%,24,32784330,Decrease1,Increase4.2%,25,34172492,Decrease1,Increase4.2%,25,35218374,Steady,Increase3.1%,28,34214740,Decrease3,Decrease2.9%,31,32398979,Decrease3,Decrease5.3%,40,31378644,Decrease9,,36,33668048,Increase4,Increase6.8%,36,34222405,Steady,Increase1.7%,37,35448590,Decrease1,Increase3.6%,36,38105747,Increase1,Increase7.5%,37,40271343,Decrease1,Increase5.7%
London Heathrow Airport,LHR,EGLL,51.47060000000,-0.46194100000,4,64606826,Increase3.8,4,60743084,Steady,Decrease6.0%,3,63338641,Increase1,Increase4.3%,3,63487136,Steady,Increase0.2%,3,67344054,Steady,Increase6.1%,3,67915403,Steady,Increase0.8%,3,67530197,Steady,Decrease0.6%,3,68068304,Steady,Increase0.8%,3,67056379,Steady,Decrease1.5%,2,66037578,Increase1,Decrease1.5%,4,65884143,Decrease2,Decrease0.2%,3,69433565,Increase1,Increase5.4%,3,70037417,Steady,Increase0.9%,3,72368030,Steady,Increase3.3%,3,73408489,Steady,Increase1.4%,6,74989795,Decrease3,Increase2.2%
Amsterdam Airport Schiphol,AMS,EHAM,52.30860138000,4.76388979000,10,39606925,Increase7.7,9,39531123,Increase1,Decrease0.2%,9,40736009,Steady,Increase3.0%,9,39960400,Steady,Decrease1.9%,9,42541180,Steady,Increase6.5%,9,44163098,Steady,Increase3.8%,12,46065719,Decrease3,Increase4.4%,12,47794994,Steady,Increase3.8%,14,47430019,Decrease2,Decrease0.8%,14,43570370,Steady,Decrease8.1%,15,45211749,Decrease1,Increase3.8%,14,49755252,Increase1,Increase10.0%,16,51035590,Decrease2,Increase2.6%,14,52569250,Increase2,Increase3.0%,14,54978023,Steady,Increase4.6%,14,58284864,Steady,Increase6.0%
Adolfo Suárez Madrid–Barajas Airport,MAD,LEMD,40.47192600000,-3.56264000000,20,32893190,Increase17.5,16,34047931,Increase4,Increase3.5%,13,33913456,Increase3,Decrease0.4%,13,35854293,Steady,Increase5.7%,13,38704731,Steady,Increase7.9%,12,41940059,Increase1,Increase8.4%,13,45501168,Decrease1,Increase8.0%,10,52122702,Increase3,Increase13.9%,11,50824435,Decrease1,Decrease2.4%,11,48250784,Steady,Decrease5.1%,12,49844596,Decrease1,Increase3.0%,15,49653055,Decrease3,Decrease0.4%,19,45175501,Decrease4,Decrease9.0%,29,39729027,Decrease10,Decrease12.1%,27,41822863,Increase2,Increase5.3%,24,46779554,Increase3,Increase12.0%
Charles de Gaulle International Airport,CDG,LFPG,49.01279831000,2.54999995200,8,48246137,Increase10.6,8,47996529,Steady,Decrease0.5%,8,48350172,Steady,Increase0.7%,8,48220436,Steady,Decrease0.3%,7,51260363,Increase1,Increase6.3%,7,53798308,Steady,Increase5.0%,7,56849567,Steady,Increase5.7%,6,59922177,Increase1,Increase5.4%,5,60874681,Increase1,Increase1.6%,6,57906866,Decrease1,Decrease4.9%,7,58167062,Decrease1,Increase0.5%,7,60970551,Steady,Increase4.8%,7,61611934,Steady,Increase1.1%,8,62052917,Decrease1,Increase0.7%,8,63813756,Steady,Increase2.8%,9,65766986,Decrease1,Increase3.1%
Tokyo Haneda International Airport,HND,RJTT,35.55229900000,139.77999900000,6,56402206,Increase3.8,5,58692688,Increase1,Increase4.1%,4,61079478,Increase1,Increase4.1%,4,62876269,Steady,Increase2.9%,4,62291405,Steady,Decrease0.9%,4,63282219,Steady,Increase1.6%,4,65810672,Steady,Increase4.0%,4,66823414,Steady,Increase1.1%,4,66754829,Steady,Decrease0.2%,5,61903656,Decrease1,Decrease7.2%,5,64211074,Steady,Increase3.7%,5,62584826,Steady,Decrease2.5%,4,67788722,Increase1,Increase8.3%,4,68906636,Steady,Increase3.3%,4,72826565,Steady,Increase5.7%,5,75316718,Decrease1,Increase3.4%
San Francisco International Airport,SFO,KSFO,37.61899948000,-122.37500000000,9,41040995,Increase1.8,14,34632474,Decrease5,Decrease15.6%,19,31456422,Decrease5,Decrease9.2%,22,29313271,Decrease3,Decrease6.8%,21,32247746,Increase1,Increase10.0%,23,33394225,Decrease2,Increase2.3%,26,33574807,Decrease3,Increase0.5%,23,35792707,Increase3,Increase6.6%,21,37234592,Increase2,Increase4.7%,20,37338942,Increase1,Increase0.3%,23,39253999,Decrease3,Increase5.1%,21,40927786,Increase2,Increase4.3%,22,44431894,Decrease1,Increase8.6%,22,44944201,Steady,Increase1.2%,21,47114631,Increase1,Increase4.8%,21,50057887,Steady,Increase6.3%
Los Angeles International Airport,LAX,KLAX,33.94250107000,-118.40799710000,3,66424767,Increase4.8,3,61606204,Steady,Decrease8.5%,5,56223843,Decrease2,Decrease8.7%,5,54982838,Steady,Decrease2.2%,5,60688609,Steady,Increase10.4%,5,61489398,Steady,Increase1.3%,5,61041066,Steady,Decrease0.7%,5,61896075,Steady,Increase1.4%,6,59497539,Decrease1,Decrease4.7%,7,56520843,Decrease1,Decrease5.5%,6,59070127,Increase1,Increase4.5%,6,61862052,Steady,Increase4.7%,6,63688121,Steady,Increase3.0%,6,66702252,Steady,Increase4.7%,5,70663265,Increase1,Increase6.0%,7,74937004,Decrease2,Increase6.1%
Newark Liberty International Airport,EWR,KEWR,40.69250107000,-74.16870117000,18,34188468,Increase1.7,22,30558000,Decrease4,Decrease10.6%,23,29202654,Decrease1,Decrease6.1%,21,29431061,Increase2,Increase0.7%,22,31947266,Decrease1,Increase8.4%,22,33999990,Steady,Increase3.3%,19,36724167,Increase3,Increase7.9%,21,36367240,Decrease2,Increase2.1%,23,35360848,Decrease2,Decrease2.8%,29,33399207,Decrease6,Decrease5.5%,34,33133852,Decrease5,,37,33577154,Decrease3,Increase1.3%,38,33993962,Decrease1,Increase0.9%,40,35016236,Decrease2,Increase3.0%,44,35610759,Decrease4,Increase1.7%,47,37494704,Decrease3,Increase5.3%
