port,country,lat,lng,wiki,img,desc,total2014,total2013,total2012,total2011,total2010,total2009,total2008,total2007,total2006,total2005
Shanghai,China,30.6265,122.0647,https://en.wikipedia.org/wiki/Port_of_Shanghai,https://upload.wikimedia.org/wikipedia/commons/c/c2/Port_of_Shanghai%2C_Yangshan_Deep-water_Harbour_Zone%2C_02.jpg,"The Port of Shanghai, located in the vicinity of Shanghai, comprises a deep-sea port and a river port. In 2010, Shanghai port overtook the Port of Singapore to become the world's busiest container port. The Port of Shanghai is a critically important transport hub for the Yangtze River region and the most important gateway for foreign trade.",35268,33617,32529,31700,29069,25002,27980,26150,21710,18084
Singapore,Singapore,1.264,103.84,https://en.wikipedia.org/wiki/Port_of_Singapore,https://upload.wikimedia.org/wikipedia/commons/5/5b/Port_of_Singapore_%283777500194%29.jpg,"The Port of Singapore refers to the collective facilities and terminals that conduct maritime trade handling functions in harbors and which handle Singapore's shipping. Currently the world's second-busiest port in terms of total shipping tonnage, it also trans-ships half of the world's annual supply of crude oil, and is the world's busiest transshipment port. Thousands of ships drop anchor in the harbor, connecting the port to over 600 other ports in 123 countries and spread over six continents.",33869,32240,31649,29937,28431,25866,29918,27932,24792,23192
Shenzhen,China,22.5,113.8833,https://en.wikipedia.org/wiki/Port_of_Shenzhen,https://upload.wikimedia.org/wikipedia/commons/5/5b/%E6%B7%B1%E5%9C%B3%E8%B5%A4%E6%B9%BE%E8%B4%A7%E6%9F%9C%E7%A0%81%E5%A4%B4.jpg,"The Port of Shenzhen is a collective name of a number of ports along parts of the coastline of Shenzhen, Guangdong Province, China. These ports as a whole form one of the busiest and fastest growing container ports in the world. The port is home to 39 shipping companies who have launched 131 international container routes. There are 560 ships on call at Shenzhen port on a monthly basis and also 21 feeder routes to other ports in the Pearl River Delta region.",23798,23280,22940,22570,22510,18250,21414,21099,18469,16197
Hong Kong,China,22.3333,114.1167,https://en.wikipedia.org/wiki/Port_of_Hong_Kong,https://upload.wikimedia.org/wikipedia/commons/c/ca/Port_of_hong_kong.png,"The Port of Hong Kong, located by the South China Sea, is a deep water seaport dominated by trade in containerized manufactured products, and to a lesser extent raw materials and passengers. A key factor in the economic development of Hong Kong, the natural shelter and deep waters of Victoria Harbor provide ideal conditions for berthing and the handling of all types of vessels. It is one of the busiest ports in the world, in the three categories of shipping movements, cargo handled and passengers carried.",22374,22352,23117,24384,23532,20983,24248,23881,23539,22427
Ningbo-Zhoushan,China,29.8667,121.55,https://en.wikipedia.org/wiki/Port_of_Ningbo-Zhoushan,http://3.bp.blogspot.com/-k5YwFtnIOcs/VIF-qdifGsI/AAAAAAAACOA/AYVWpik3clk/s1600/6%2BNingbo-Zhoushan.jpg,"The Port of Ningbo-Zhoushan is a Chinese port that is the busiest in the world in terms of cargo tonnage, it handled 888.96 million tons of cargo in 2015. The port is at the crossroads of the north-south inland and coastal shipping route, including canals to the important inland waterway to interior China, the Yangtze River, to the north.",19450,17351,16670,14686,13144,10502,11226,9349,7068,5208
Busan,South Korea,35.1039,129.0789,https://en.wikipedia.org/wiki/Port_of_Busan,https://upload.wikimedia.org/wikipedia/commons/b/bd/Busan-port-from-Busan-tower-2.jpg,"The Port of Busan is the largest port in South Korea, located in the city of Busan, South Korea.",18423,17690,17046,16185,14157,11954,13425,13270,12039,11843
Qingdao,China,36.0833,120.317,https://en.wikipedia.org/wiki/Qingdao_Port,https://upload.wikimedia.org/wikipedia/commons/9/9d/Qingdao_port.jpg,"The Port of Qingdao is a seaport on the Yellow Sea in the vicinity of Qingdao, Shandong Province, People's Republic of China. It is one of the ten busiest ports in the world (7th in 2010 considering total cargo volume according to the Institute of Shipping Economics & Logistics).",16624,15520,14503,13020,12012,10260,10320,9462,7702,6307
Guangzhou,China,23.0939,113.4378,https://en.wikipedia.org/wiki/Port_of_Guangzhou,http://sowoll.com/images/GUANGZHOU%20PORT.jpg,"The Port of Guangzhou is the main seaport of Guangzhou city, Guangdong province, China. The port is operated by Guangzhou Port Group Co. Ltd which is a state owned company. It is currently the largest comprehensive port in South China. Its international maritime trade reaches over 300 ports in more than 80 countries and districts worldwide.",16160,15309,14744,14400,12550,11190,11001,9200,6600,4685
Jebel Ali,United Arab Emirates,25.0113,55.0612,https://en.wikipedia.org/wiki/Port_of_Jebel_Ali,https://upload.wikimedia.org/wikipedia/commons/f/fb/Jebel_Ali_Port_2_Imresolt.jpg,"Jebel Ali is a deep port located in Jebel Ali, Dubai, United Arab Emirates. Jebel Ali is the world's ninth busiest port and the largest man-made harbor and the biggest and by far the busiest port in the Middle-East. Port Jebel Ali was constructed in the late 1970s to supplement the facilities at Port Rashid.",14750,13641,13270,13000,11600,11124,11827,10653,8923,7619
Tianjin,China,38.9758,117.7875,https://en.wikipedia.org/wiki/Port_of_Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/HaiheFirstBendAfternoon.jpg/440px-HaiheFirstBendAfternoon.jpg,"The Port of Tianjin is on the western shore of the Bohai Bay, centered on the estuary of the Haihe River, 170 km southeast of Beijing and 60 km east of Tianjin city. It is the largest man-made port in mainland China and one of the largest in the world. It covers 121 square kilometers of land surface, with over 31.9 km of quay shoreline and 151 production berths at the end of 2010. The port trades with more than 600 ports in 180 countries and territories around the world.",14050,13010,12300,11500,10080,8700,8500,7103,5950,4801
Rotterdam,Netherlands,51.952549,4.046374,https://en.wikipedia.org/wiki/Port_of_Rotterdam,https://www.portofrotterdam.com/sites/default/files/styles/por_is_content_image/public/Total-Rotterdam-Erasmus-Port-Authority-Pleasure-boating.jpg?itok=mSy3R_qx,"The Port of Rotterdam is the largest port in Europe, located in the city of Rotterdam, Netherlands. From 1962 until 2004 it was the world's busiest port, now overtaken first by Singapore and then Shanghai. In 2012 Rotterdam was the world's sixth-largest port in terms of annual cargo tonnage. Covering 105 square kilometres (41 sq mi), the port of Rotterdam now stretches over a distance of 40 kilometres (25 mi).",12453,11621,11866,11877,11146,9743,10784,10791,9655,9287
Port Klang,Malaysia,2.9333,101.2975,https://en.wikipedia.org/wiki/Port_Klang,https://upload.wikimedia.org/wikipedia/commons/8/81/Northport_Malaysia_Wharve.JPG,"Port Klang is a town and the main gateway by sea into Malaysia. Known during colonial times as Port Swettenham but renamed Port Klang in July 1972, it is the largest port in the country. It is located about 6 kilometres (3.7 mi) southwest of the town of Klang, and 38 kilometres (24 mi) southwest of Kuala Lumpur.",10736,10350,10000,9604,8870,7309,7970,7120,6326,5544
Kaohsiung,Taiwan,22.6133,120.2792,https://en.wikipedia.org/wiki/Port_of_Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/8/8d/Shipping-container_Kaohsiung_Harbour.jpg,"The Port of Kaohsiung is the largest harbor in Taiwan, handling approximately 10 million twenty-foot equivalent units worth of cargo in 2007. The port is located in southern Taiwan, adjacent to Kaohsiung City. It is operated by Taiwan International Ports Corporation, the Taiwan's only state-owned harbor management company.",10593,9938,9781,9636,8872,8581,9677,10257,9775,9471
Dalian,China,38.9166,121.6833,https://en.wikipedia.org/wiki/Port_of_Dalian,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dalian_Shipbuilding_Industry_Company.jpg/1280px-Dalian_Shipbuilding_Industry_Company.jpg,"The Port of Dalian founded in 1899 lies at the southern tip of Liaodong Peninsula in Liaoning province and is the most northern ice-free port in China. It is also the largest multi-purpose port in Northeast China serving the seaports North Asia, East Asia and the Pacific Rim. It is the trade gateway to the Pacific. It is the second largest container transshipment hub in mainland China.",10128,10860,8060,6400,5242,4552,4503,4574,3212,2665
Hamburg,Germany,53.5461,9.9661,https://en.wikipedia.org/wiki/Port_of_Hamburg,https://upload.wikimedia.org/wikipedia/commons/9/93/Landungsbr%C3%BCcken%2C_Hamburg.JPG,"The Port of Hamburg is a German sea port, located on the river Elbe in Hamburg, some 110 kilometres from the mouth of the Elbe into the North Sea. It is Germany's largest port and is named the country's ""Gateway to the World"". In terms of TEU throughput, Port of Hamburg is the second-busiest port in Europe (after the port of Rotterdam) and 15th-largest worldwide.",9729,9302,8864,9022,7900,7007,9737,9890,8862,8088
Antwerp,Belgium,51.27,4.3366,https://en.wikipedia.org/wiki/Port_of_Antwerp,https://upload.wikimedia.org/wikipedia/commons/b/be/Zicht_op_het_Delwaidedok.jpg,"The Port of Antwerp in Belgium, is a port in the heart of Europe accessible to capesize ships. Antwerp stands at the upper end of the tidal estuary of the Scheldt. The estuary is navigable by ships of more than 100,000 Gross Tons as far as 80 km inland. Like Hamburg, the Port of Antwerp's inland location provides a more central location in Europe than the majority of North Sea ports. Antwerp's docks are connected to the hinterland by rail, road, and river and canal waterways.",9136,8578,8635,8664,8468,7309,8663,8176,7019,6482
